date,weight_kg,weight_measure_count,exercise_minutes,exercise_calories,activity_count,steps,sleep_hours,resting_hr,visceral_fat,metabolic_age,body_fat_percent,sleep_score,training_load_acute
2026-03-13,,0,56.4,567,3,10806,,59,,,,,
2026-03-14,84.2,1,0,53,0,2549,,59,,,,,
2026-03-15,,0,30.1,295,1,9932,,59,,,,,
2026-03-16,84.2,1,69,711,0,13468,,58,19,,,,
2026-03-17,85,1,44,258,1,10707,,60,19,,,,
2026-03-18,84.1,1,41,274,0,7316,,61,19,,,,
2026-03-19,84.5,1,51.9,445,1,11590,,63,19,,,,
2026-03-20,,0,45.3,334,1,16823,,63,,,,,
2026-03-21,85.2,1,44.4,284,1,4399,,58,20,,,,
2026-03-22,,0,3,458,0,10851,,56,,,,,
2026-03-23,,0,31,345,0,8916,,59,,,,,
2026-03-24,84.9,1,38,381,0,10304,,56,19,,,,
2026-03-25,84.6,1,59.5,435,1,9852,,57,19,,,,
2026-03-26,84.6,1,55.2,442,2,10294,,62,19,,,,
2026-03-27,84.6,1,50,536,0,9676,,64,19,,,,
2026-03-28,84.6,1,0,204,0,4768,,63,19,,,,
2026-03-29,,0,0,269,0,8686,,56,,,,,
2026-03-30,,0,31,373,0,10060,,55,,,,,
2026-03-31,83.1,1,27,511,0,13142,,60,18,,,,
2026-04-01,,0,66,486,0,12122,,54,,,,,
2026-04-02,81.6,1,18,261,0,5427,,63,18,,,,
2026-04-03,,0,16,207,0,9487,,57,,,,,
2026-04-04,,0,0,176,0,3536,,60,,,,,
2026-04-05,,0,6,163,0,4238,,54,,,,,
2026-04-06,,0,31,405,0,9619,,56,,,,,
2026-04-07,83.9,1,43.9,276,1,9102,,55,19,,,,
2026-04-08,83.5,1,42.1,315,1,10293,,52,19,,,,
2026-04-09,83.4,1,28.8,240,1,5018,,52,19,,,,
2026-04-10,83.1,1,32,314,0,8362,,55,19,,,,
2026-04-11,83.5,1,6,359,0,9372,,52,19,,,,
2026-04-12,83.5,1,18,247,0,6623,,56,19,,,,
2026-04-13,83.5,1,55,570,0,9310,,54,19,,,,
2026-04-14,83.3,1,47,432,0,9584,,55,19,,,,
2026-04-15,83.8,1,44,404,0,11611,,57,19,,,,
2026-04-16,,0,39,314,0,9438,,56,,,,,
2026-04-17,84,1,47,396,0,10855,,56,20,,,,
2026-04-18,,0,0,205,0,7302,,56,,,,,
2026-04-19,,0,0,181,0,5100,,60,,,,,
2026-04-20,84,1,53.8,296,1,9809,,60,20,,,,
2026-04-21,83,1,36.7,288,1,9154,,62,19,,,,
2026-04-22,82.7,1,46,383,0,10793,,62,19,,,,
2026-04-23,82.4,1,35,346,0,10031,,68,19,,,,
2026-04-24,83.3,1,38,288,1,6037,,55,19,,,,
2026-04-25,83.1,1,0,127,0,6097,,57,19,,,,
2026-04-26,,0,36.9,245,1,7030,,55,,,,,
2026-04-27,84.4,1,41,319,0,9525,,64,20,,,,
2026-04-28,83.7,1,49.7,441,1,5767,,57,19,,,,
2026-04-29,82.6,1,28,323,0,9096,,54,19,,,,
2026-04-30,83.5,1,33,312,0,9712,,55,19,,,,
2026-05-01,,0,0,161,0,8849,,53,,,,,
2026-05-02,,0,3,254,0,7946,,54,,,,,
2026-05-03,83.7,1,0,49,0,1627,,59,19,,,,
2026-05-04,83.7,1,30.7,250,1,6590,,58,19,,,,
2026-05-05,83.4,1,0,285,0,7756,,60,19,,,,
2026-05-06,82.8,1,43,465,0,10931,,59,19,,,,
2026-05-07,82.8,1,38,349,0,10825,,60,19,,,,
2026-05-08,82.8,1,42.5,284,1,8419,,56,19,,,,
2026-05-09,82.8,1,7,223,0,8723,,59,19,,,,
2026-05-10,,0,52.2,279,1,4510,,53,,,,,
2026-05-11,82.9,1,30,262,0,8411,,55,19,,,,
2026-05-12,82.9,1,44.8,373,2,9604,,59,19,,,,
2026-05-13,82.8,1,32,352,0,9403,,63,19,,,,
2026-05-14,82.8,1,41.4,287,2,9364,,58,19,,,,
2026-05-15,82.7,1,46,459,0,10848,,56,19,,,,
2026-05-16,,0,0,245,0,6659,,56,,,,,
2026-05-17,,0,0,119,0,5972,,61,,,,,
2026-05-18,83.6,1,46,394,0,9935,,58,19,,29,,
2026-05-19,83.1,1,36,352,0,10720,,61,19,,28.9,,
2026-05-20,80.5,1,0,138,0,4289,,56,18,,27.5,,
2026-05-21,,0,15,194,0,6956,,61,,,,,
2026-05-22,82.5,1,28,238,0,8323,,55,19,,28.5,,
2026-05-23,82.5,1,74,820,0,16901,,56,19,,28.7,,
2026-05-24,,0,19,454,0,16332,,56,,,,,
2026-05-25,,0,0,20,0,2151,,56,,,,,
2026-05-26,83.8,1,28,254,0,7698,,54,19,,29.1,,
2026-05-27,83.2,1,27,303,0,8638,,57,19,,28.8,,
2026-05-28,82.5,1,13,345,0,8732,,58,19,,28.6,,
2026-05-29,83,1,30,337,0,9569,,55,19,,27.9,,
2026-05-30,,0,12,340,0,9908,3.18,51,,,,45,
2026-05-31,,0,0,51,0,4645,3.17,57,,,,29,
2026-06-01,,0,19,269,0,6982,,55,,,,,
2026-06-02,83.3,1,28,320,0,7563,,59,19,,29,,
2026-06-03,83.3,1,12,393,0,9242,,59,19,,29.1,,
2026-06-04,,0,7,381,0,10418,,68,,,,,
2026-06-05,,0,25,494,0,12180,,60,,,,,
2026-06-06,,0,5,503,0,13110,,59,,,,,
